category,alpha,n,propagation_rate,ci_low,ci_high
compound_state_transition_verification,0.0,40,0.65,0.5,0.8
compound_state_transition_verification,0.1,40,0.65,0.5,0.775
compound_state_transition_verification,0.25,40,0.625,0.475,0.775
compound_state_transition_verification,0.5,40,0.775,0.65,0.9
compound_state_transition_verification,0.75,40,0.75,0.6,0.9
compound_state_transition_verification,0.9,40,0.75,0.6,0.875
compound_state_transition_verification,0.95,40,0.75,0.625,0.875
compound_state_transition_verification,0.99,40,0.75,0.6,0.875
localized_intensification_verification,0.0,40,0.675,0.525,0.825
localized_intensification_verification,0.1,40,0.675,0.525,0.825
localized_intensification_verification,0.25,40,0.625,0.475,0.775
localized_intensification_verification,0.5,40,0.6,0.45,0.75
localized_intensification_verification,0.75,40,0.65,0.5,0.7756249999999995
localized_intensification_verification,0.9,40,0.7,0.55,0.85
localized_intensification_verification,0.95,40,0.7,0.55,0.825
localized_intensification_verification,0.99,40,0.725,0.6,0.85
persistent_regional_anomaly_verification,0.0,43,0.09302325581395349,0.023255813953488372,0.18604651162790697
persistent_regional_anomaly_verification,0.1,43,0.18604651162790697,0.06976744186046512,0.32558139534883723
persistent_regional_anomaly_verification,0.25,43,0.23255813953488372,0.11627906976744186,0.37209302325581395
persistent_regional_anomaly_verification,0.5,43,0.3488372093023256,0.20930232558139536,0.4883720930232558
persistent_regional_anomaly_verification,0.75,43,0.46511627906976744,0.32500000000000007,0.6052325581395344
persistent_regional_anomaly_verification,0.9,43,0.4883720930232558,0.3488372093023256,0.627906976744186
persistent_regional_anomaly_verification,0.95,43,0.4883720930232558,0.32558139534883723,0.6511627906976745
persistent_regional_anomaly_verification,0.99,43,0.5116279069767442,0.3488372093023256,0.6744186046511628
reliability_aware_claim_verification,0.0,40,0.675,0.5,0.8
reliability_aware_claim_verification,0.1,40,0.675,0.525,0.825
reliability_aware_claim_verification,0.25,40,0.675,0.525,0.8006249999999995
reliability_aware_claim_verification,0.5,40,0.675,0.525,0.8
reliability_aware_claim_verification,0.75,40,0.675,0.525,0.825
reliability_aware_claim_verification,0.9,40,0.675,0.525,0.8
reliability_aware_claim_verification,0.95,40,0.675,0.525,0.8
reliability_aware_claim_verification,0.99,40,0.675,0.525,0.8006249999999995
spatial_coherence_verification,0.0,42,0.6666666666666666,0.5238095238095238,0.8095238095238095
spatial_coherence_verification,0.1,42,0.6666666666666666,0.5238095238095238,0.8095238095238095
spatial_coherence_verification,0.25,42,0.6904761904761905,0.5476190476190477,0.8095238095238095
spatial_coherence_verification,0.5,42,0.8095238095238095,0.6904761904761905,0.9285714285714286
spatial_coherence_verification,0.75,42,0.8095238095238095,0.6904761904761905,0.9047619047619048
spatial_coherence_verification,0.9,42,0.8095238095238095,0.6904761904761905,0.9285714285714286
spatial_coherence_verification,0.95,42,0.8095238095238095,0.6904761904761905,0.9285714285714286
spatial_coherence_verification,0.99,42,0.8095238095238095,0.6904761904761905,0.9285714285714286
wet_anomaly_consistency_verification,0.0,40,0.65,0.5,0.8
wet_anomaly_consistency_verification,0.1,40,0.6,0.45,0.75
wet_anomaly_consistency_verification,0.25,40,0.575,0.425,0.725
wet_anomaly_consistency_verification,0.5,40,0.475,0.325,0.625
wet_anomaly_consistency_verification,0.75,40,0.525,0.375,0.675
wet_anomaly_consistency_verification,0.9,40,0.675,0.524375,0.825
wet_anomaly_consistency_verification,0.95,40,0.675,0.525,0.8
wet_anomaly_consistency_verification,0.99,40,0.675,0.525,0.8006249999999995
