category,alpha,n,propagation_rate,ci_low,ci_high
compound_state_transition_verification,0.0,40,0.65,0.5,0.8
compound_state_transition_verification,0.1,40,0.65,0.5,0.775
compound_state_transition_verification,0.25,40,0.625,0.475,0.7506249999999994
compound_state_transition_verification,0.5,40,0.525,0.375,0.675
compound_state_transition_verification,0.75,40,0.45,0.3,0.6
compound_state_transition_verification,0.9,40,0.425,0.275,0.575
compound_state_transition_verification,0.95,40,0.425,0.275,0.5506249999999995
compound_state_transition_verification,0.99,40,0.425,0.275,0.575
localized_intensification_verification,0.0,40,0.675,0.525,0.825
localized_intensification_verification,0.1,40,0.65,0.475,0.8
localized_intensification_verification,0.25,40,0.625,0.475,0.775
localized_intensification_verification,0.5,40,0.475,0.325,0.625
localized_intensification_verification,0.75,40,0.375,0.225,0.525
localized_intensification_verification,0.9,40,0.35,0.2,0.5
localized_intensification_verification,0.95,40,0.35,0.2,0.5
localized_intensification_verification,0.99,40,0.35,0.2,0.5
persistent_regional_anomaly_verification,0.0,43,0.09302325581395349,0.023255813953488372,0.18604651162790697
persistent_regional_anomaly_verification,0.1,43,0.09302325581395349,0.023255813953488372,0.18604651162790697
persistent_regional_anomaly_verification,0.25,43,0.06976744186046512,0.0,0.16279069767441862
persistent_regional_anomaly_verification,0.5,43,0.06976744186046512,0.0,0.16279069767441862
persistent_regional_anomaly_verification,0.75,43,0.046511627906976744,0.0,0.11627906976744186
persistent_regional_anomaly_verification,0.9,43,0.046511627906976744,0.0,0.11627906976744186
persistent_regional_anomaly_verification,0.95,43,0.046511627906976744,0.0,0.11627906976744186
persistent_regional_anomaly_verification,0.99,43,0.046511627906976744,0.0,0.11627906976744186
reliability_aware_claim_verification,0.0,40,0.675,0.5,0.8
reliability_aware_claim_verification,0.1,40,0.675,0.525,0.825
reliability_aware_claim_verification,0.25,40,0.675,0.525,0.8006249999999995
reliability_aware_claim_verification,0.5,40,0.675,0.525,0.8
reliability_aware_claim_verification,0.75,40,0.675,0.525,0.825
reliability_aware_claim_verification,0.9,40,0.675,0.525,0.8
reliability_aware_claim_verification,0.95,40,0.675,0.525,0.8
reliability_aware_claim_verification,0.99,40,0.675,0.525,0.8006249999999995
spatial_coherence_verification,0.0,42,0.6666666666666666,0.5238095238095238,0.8095238095238095
spatial_coherence_verification,0.1,42,0.6666666666666666,0.5238095238095238,0.8095238095238095
spatial_coherence_verification,0.25,42,0.5714285714285714,0.42857142857142855,0.7142857142857143
spatial_coherence_verification,0.5,42,0.47619047619047616,0.30952380952380953,0.6190476190476191
spatial_coherence_verification,0.75,42,0.47619047619047616,0.3333333333333333,0.6190476190476191
spatial_coherence_verification,0.9,42,0.47619047619047616,0.3333333333333333,0.6190476190476191
spatial_coherence_verification,0.95,42,0.47619047619047616,0.30952380952380953,0.6190476190476191
spatial_coherence_verification,0.99,42,0.47619047619047616,0.30952380952380953,0.6190476190476191
wet_anomaly_consistency_verification,0.0,40,0.65,0.5,0.8
wet_anomaly_consistency_verification,0.1,40,0.65,0.5,0.8
wet_anomaly_consistency_verification,0.25,40,0.65,0.5,0.8
wet_anomaly_consistency_verification,0.5,40,0.575,0.425,0.75
wet_anomaly_consistency_verification,0.75,40,0.525,0.375,0.675
wet_anomaly_consistency_verification,0.9,40,0.525,0.374375,0.675
wet_anomaly_consistency_verification,0.95,40,0.525,0.375,0.675
wet_anomaly_consistency_verification,0.99,40,0.525,0.375,0.675
