model,alpha,n,propagation_rate,ci_low,ci_high
claude,0.0,1,0.0,0.0,0.0
claude,0.1,1,0.0,0.0,0.0
claude,0.25,1,0.0,0.0,0.0
claude,0.5,1,0.0,0.0,0.0
claude,0.75,1,0.0,0.0,0.0
claude,0.9,1,0.0,0.0,0.0
claude,0.95,1,0.0,0.0,0.0
claude,0.99,1,0.0,0.0,0.0
deepseek,0.0,14,0.07142857142857142,0.0,0.21428571428571427
deepseek,0.1,14,0.07142857142857142,0.0,0.21428571428571427
deepseek,0.25,14,0.07142857142857142,0.0,0.21428571428571427
deepseek,0.5,14,0.14285714285714285,0.0,0.35714285714285715
deepseek,0.75,14,0.21428571428571427,0.0,0.42857142857142855
deepseek,0.9,14,0.21428571428571427,0.0,0.42857142857142855
deepseek,0.95,14,0.21428571428571427,0.0,0.42857142857142855
deepseek,0.99,14,0.21428571428571427,0.0,0.42857142857142855
gpt,0.0,230,0.5956521739130435,0.5347826086956522,0.6608695652173913
gpt,0.1,230,0.591304347826087,0.5260869565217391,0.6521739130434783
gpt,0.25,230,0.5608695652173913,0.5,0.6260869565217392
gpt,0.5,230,0.4826086956521739,0.4217391304347826,0.5391304347826087
gpt,0.75,230,0.43478260869565216,0.3739130434782609,0.5
gpt,0.9,230,0.4260869565217391,0.3651086956521739,0.48695652173913045
gpt,0.95,230,0.4260869565217391,0.3652173913043478,0.48695652173913045
gpt,0.99,230,0.4260869565217391,0.36086956521739133,0.49130434782608695
