endpoint,optimizer,seed,canonical_seed,canonical_optimizer,warning_emitted,optimizer_success,odds_ratio,beta_condition,objective,random_intercept_sd,notes
primary,BFGS,20260626,True,True,True,False,1.838697547871951,0.60905746655625,442.235471530323,0.7368293778985796,canonical fit; matches committed phase_1_5g_metadata.json exactly
primary,BFGS,20260627,False,True,True,False,1.8386975504086265,0.6090574679358546,,0.7368293771989023,
primary,BFGS,20260628,False,True,False,True,1.8386975479452234,0.6090574665961003,,0.7368293811000509,
primary,BFGS,20260629,False,True,False,True,1.838697548218692,0.6090574667448297,,0.7368293804980207,
primary,L-BFGS-B,20260626,False,False,False,True,1.8388696284380506,0.6091510504708193,,0.7365113662969945,
primary,L-BFGS-B,20260627,False,False,False,True,1.838622672018931,0.6090167435032913,,0.7368377982903364,
primary,L-BFGS-B,20260628,False,False,False,True,1.838720181709164,0.6090697761924555,,0.7369466508389261,
primary,L-BFGS-B,20260629,False,False,False,True,1.838789520351457,0.6091074857556756,,0.7366818094825011,
primary,CG,20260626,False,False,True,False,1.8386968374151078,0.609057080164817,,0.7368270242663146,
primary,CG,20260627,False,False,True,False,1.8386978794871727,0.6090576469095617,,0.7368308008618154,
primary,CG,20260628,False,False,True,False,1.8386970973121863,0.609057221513328,,0.736827636653231,
primary,CG,20260629,False,False,True,False,1.8386971172984548,0.6090572323831273,,0.7368284312665836,
primary,Newton-CG,20260626,False,False,False,True,1.838697592823283,0.6090574910036266,,0.7368293897460834,
primary,Newton-CG,20260627,False,False,False,True,1.8386978110880055,0.6090576097097752,,0.7368293625795064,
primary,Newton-CG,20260628,False,False,False,True,1.8386976247657008,0.6090575083759329,,0.7368293365729967,
primary,Newton-CG,20260629,False,False,False,True,1.838697366474826,0.6090573679010177,,0.7368293675024236,
primary,trust-constr,20260626,False,False,False,True,1.8386975487191741,0.6090574670170236,,0.7368293809486155,
primary,trust-constr,20260627,False,False,False,True,1.8386975888160133,0.6090574888242201,,0.7368294443704679,
primary,trust-constr,20260628,False,False,False,True,1.838697519421456,0.6090574510830716,,0.7368292810312378,
primary,trust-constr,20260629,False,False,False,True,1.838697527859542,0.6090574556722366,,0.7368293820800774,
primary,Nelder-Mead,20260626,False,False,True,False,1.000010073135319,1.0073084585314423e-05,,0.9999748151363602,degenerate near-null solution; derivative-free method inappropriate for ~245-parameter posterior; not a comparator against the canonical fit
primary,Nelder-Mead,20260627,False,False,True,False,1.0000071025968655,7.102571642181264e-06,,0.9999869646036167,degenerate near-null solution; see note above
primary,Nelder-Mead,20260628,False,False,True,False,1.0000086158775157,8.615840399216361e-06,,0.9999769994438703,degenerate near-null solution; see note above
primary,Nelder-Mead,20260629,False,False,True,False,1.0000098012937233,9.801245690824873e-06,,0.999837247560218,degenerate near-null solution; see note above
directional,BFGS,20260626,True,True,True,False,3.843137844359794,1.3462891798855139,439.5255533791611,0.9106535729037432,canonical fit; matches committed phase_1_5g_metadata.json exactly
directional,BFGS,20260627,False,True,False,True,3.8431378381731567,1.3462891782757258,,0.9106535734073942,
directional,BFGS,20260628,False,True,True,False,3.843137826862491,1.346289175332645,,0.9106535658078893,
directional,BFGS,20260629,False,True,True,False,3.8431378363909574,1.3462891778119903,,0.9106535723552737,
directional,L-BFGS-B,20260626,False,False,False,True,3.8429393489768153,1.3462375292507285,,0.9106637043113185,
directional,L-BFGS-B,20260627,False,False,False,True,3.8429667018575233,1.3462446469231348,,0.9105753359878777,
directional,L-BFGS-B,20260628,False,False,False,True,3.842626585315836,1.3461561393664112,,0.9102802717660845,
directional,L-BFGS-B,20260629,False,False,False,True,3.8432188720667315,1.3463102634000916,,0.9108301176946955,
directional,CG,20260626,False,False,True,False,3.843136754469658,1.3462888962916553,,0.9106530811834946,
directional,CG,20260627,False,False,True,False,3.84314120812258,1.3462900551498032,,0.9106557133716239,
directional,CG,20260628,False,False,True,False,3.8431385446681814,1.34628936210857,,0.9106541037174156,
directional,CG,20260629,False,False,True,False,3.8431404189258584,1.346289849797785,,0.9106552155718316,
directional,Newton-CG,20260626,False,False,False,True,3.8431375847061626,1.3462891123225873,,0.9106533244147063,
directional,Newton-CG,20260627,False,False,False,True,3.843138089474932,1.3462892436654614,,0.9106535989325691,
directional,Newton-CG,20260628,False,False,False,True,3.8431341570837545,1.3462882204409252,,0.9106507095332771,
directional,Newton-CG,20260629,False,False,False,True,3.843120786340874,1.3462847413101966,,0.9106422113613764,
directional,trust-constr,20260626,False,False,False,True,3.8431378025739478,1.3462891690126677,,0.910653562846905,
directional,trust-constr,20260627,False,False,False,True,3.8431377231647255,1.3462891483500667,,0.9106535020025552,
directional,trust-constr,20260628,False,False,False,True,3.8431377754669613,1.3462891619593202,,0.910653570505713,
directional,trust-constr,20260629,False,False,False,True,3.843137846523168,1.3462891804484325,,0.9106535798528781,
directional,Nelder-Mead,20260626,False,False,True,False,1.000011386402161,1.1386337336435345e-05,,0.9999743533454925,degenerate near-null solution; see note above
directional,Nelder-Mead,20260627,False,False,True,False,1.0000546102873302,5.460879624273959e-05,,1.0000568798428884,degenerate near-null solution; see note above
directional,Nelder-Mead,20260628,False,False,True,False,1.0000050124760496,5.012463487171879e-06,,0.999978996397326,degenerate near-null solution; see note above
directional,Nelder-Mead,20260629,False,False,True,False,1.0000146715596345,1.467145200830927e-05,,0.9999688026959695,degenerate near-null solution; see note above
