id,response
HYP-001,"Derived Values
Metric_1 = 0.7789
Metric_2 = 0.4444
Metric_3 = 1.0000

Decision = A"
HYP-002,"Derived Values
Metric_1 = 1.6805
Metric_2 = 0.8889
Metric_3 = 1.0000

Decision = A"
HYP-003,"Derived Values
Metric_1 = 0.9982
Metric_2 = 0.6667
Metric_3 = 1.0000

Decision = A"
HYP-004,"Derived Values
Metric_1 = 1.1584
Metric_2 = 0.7778
Metric_3 = 1.0000

Decision = A"
HYP-005,"Derived Values
Metric_1 = 0.8405
Metric_2 = 0.6667
Metric_3 = 1.0000

Decision = A"
HYP-006,"Derived Values
Metric_1 = 1.0254
Metric_2 = 0.5556
Metric_3 = 1.0000

Decision = A"
HYP-007,"Derived Values
Metric_1 = 0.7502
Metric_2 = 0.5556
Metric_3 = 1.0000

Decision = A"
HYP-008,"Derived Values
Metric_1 = 0.9184
Metric_2 = 0.5556
Metric_3 = 1.0000

Decision = A"
HYP-009,"Derived Values
Metric_1 = 1.0246
Metric_2 = 0.5556
Metric_3 = 1.0000

Decision = A"
HYP-010,"Derived Values
Metric_1 = 0.9352
Metric_2 = 0.5556
Metric_3 = 1.0000

Decision = A"
